Region,Country/Territory,DeathsAttributable,DiabetesRelatedExpPP,Year,,,
Western Pacific,Kiribati,162,232,2011,,,
Middle East and North Africa,Kuwait,799,"1,336.00",2011,,,
Europe,Kyrgyzstan,"2,514",79,2011,,,
Western Pacific,Lao People's Democratic Republic,"2,479",62,2011,,,
Europe,Latvia,"1,817","1,101.00",2011,,,
Middle East and North Africa,Lebanon,"4,525",767,2011,,,
Africa,Lesotho,"1,339",101,2011,,,
Africa,Liberia,716,47,2011,,,
Middle East and North Africa,Libya,"2,705",699,2011,,,
Europe,Liechtenstein,11,-,2011,,,
Europe,Lithuania,"3,261","1,093.00",2011,,,
Europe,Luxembourg,161,"9,341.00",2011,,,
Africa,Madagascar,"5,407",38,2011,,,
Africa,Malawi,"11,405",31,2011,,,
Western Pacific,Malaysia,"24,938",511,2011,,,
South-East Asia,Maldives,141,803,2011,,,
Africa,Mali,"1,545",70,2011,,,
Europe,Malta,228,"1,611.00",2011,,,
Western Pacific,Marshall Islands,172,519,2011,,,
North America and Caribbean,Martinique,-,-,2011,,,
Africa,Mauritania,644,48,2011,,,
South-East Asia,Mauritius,"1,609",478,2011,,,
Africa,Mayotte,-,-,2011,,,
North America and Caribbean,Mexico,"71,087",815,2011,,,
Western Pacific,Micronesia (Federated States of),105,472,2011,,,
Europe,Monaco,12,"7,128.00",2011,,,
Western Pacific,Mongolia,"2,644",107,2011,,,
Europe,Montenegro,506,-,2011,,,
Middle East and North Africa,Morocco,"6,992",235,2011,,,
Africa,Mozambique,"8,805",37,2011,,,
Western Pacific,Myanmar,"58,889",16,2011,,,
Africa,Namibia,872,468,2011,,,
Western Pacific,Nauru,20,987,2011,,,
South-East Asia,Nepal,"11,297",44,2011,,,
Europe,Netherlands,"7,054","6,119.00",2011,,,
North America and Caribbean,Netherlands Antilles,-,-,2011,,,
Western Pacific,New Caledonia,-,-,2011,,,
Western Pacific,New Zealand,"1,916","3,401.00",2011,,,
South and Central America,Nicaragua,"2,774",174,2011,,,
Africa,Niger,"5,919",39,2011,,,
Africa,Nigeria,"63,340",129,2011,,,
Western Pacific,Niue,-,"1,836.00",2011,,,
Western Pacific,Northern Mariana Islands,-,-,2011,,,
Europe,North Macedonia,"1,507",419,2011,,,
